x_value,tick,FL0_torque,FR0_torque,RL0_torque,RR0_torque,FL1_torque,FR1_torque,RL1_torque,RR1_torque,FL2_torque,FR2_torque,RL2_torque,RR2_torque,FL0_pos,FR0_pos,RL0_pos,RR0_pos,FL1_pos,FR1_pos,RL1_pos,RR1_pos,FL2_pos,FR2_pos,RL2_pos,RR2_pos
-0.2,1564019,0.0,0.08984375,-0.02734375,-0.15234375,-0.1171875,0.0078125,0.22265625,0.3046875,0.0,0.0390625,0.0,0.0,-0.03162936493754387,-0.2672332525253296,-0.04716092348098755,-0.2559085190296173,1.2051149606704712,1.1886240243911743,1.1821893453598022,1.1838665008544922,-2.8005287647247314,-2.802445888519287,-2.8078532218933105,-2.8113045692443848
0.0,1564048,-0.46484375,0.33984375,-0.30859375,0.33984375,0.0,0.19140625,0.05859375,0.0390625,-0.0390625,0.0,0.3125,0.078125,-0.03171325474977493,-0.2671613395214081,-0.04723282903432846,-0.25582462549209595,1.2050666809082031,1.1886842250823975,1.1821411848068237,1.1838785409927368,-2.800912380218506,-2.802445888519287,-2.8073930740356445,-2.811649799346924
0.0,1564075,-0.9296875,0.8671875,-0.8359375,0.7734375,-0.0859375,-0.0859375,-0.2421875,-0.18359375,0.0,0.0,0.0,0.1171875,-0.03201313316822052,-0.2669094204902649,-0.04750846326351166,-0.2554890811443329,1.2049338817596436,1.1886961460113525,1.1819844245910645,1.1839264631271362,-2.800912380218506,-2.802445888519287,-2.80743145942688,-2.811649799346924
0.2,1564105,-1.3359375,1.3046875,-1.0859375,1.1796875,-0.37109375,-0.0234375,-0.01953125,-0.671875,0.0,0.0390625,0.078125,0.078125,-0.03230048343539238,-0.26669394969940186,-0.04857533425092697,-0.254434198141098,1.2052589654922485,1.1887681484222412,1.182332992553711,1.1841182708740234,-2.800912380218506,-2.802445888519287,-2.8074698448181152,-2.8113045692443848
0.2,1564138,-1.80078125,1.80078125,-1.51953125,1.55078125,-0.49609375,-0.2421875,-0.0859375,0.0625,0.0,0.15625,0.078125,0.1953125,-0.033007826656103134,-0.26574692130088806,-0.050037138164043427,-0.252636581659317,1.2052470445632935,1.1891995668411255,1.182464838027954,1.184597373008728,-2.8008742332458496,-2.802445888519287,-2.80743145942688,-2.811227798461914
0.4,1564167,-2.234375,2.109375,-1.80078125,1.73828125,-0.8671875,-0.08203125,0.0078125,0.2265625,-0.0390625,0.0,0.15625,0.3125,-0.034170571714639664,-0.2642965614795685,-0.05109202489256859,-0.2518695592880249,1.2053426504135132,1.1897386312484741,1.1826086044311523,1.1849092245101929,-2.800950765609741,-2.8024075031280518,-2.8073930740356445,-2.8112661838531494
0.4,1564194,-2.578125,2.734375,-2.01953125,2.109375,-0.92578125,-0.30078125,-0.10546875,-0.21875,0.234375,0.0390625,0.15625,0.15625,-0.03547658026218414,-0.2630387544631958,-0.053105369210243225,-0.2502511441707611,1.205426573753357,1.1902408599853516,1.18280029296875,1.185436487197876,-2.800912380218506,-2.802445888519287,-2.80743145942688,-2.811228036880493
0.6,1564224,-3.13671875,2.91796875,-2.328125,2.484375,-0.0859375,-0.44921875,0.1171875,-0.18359375,0.078125,0.0390625,0.1953125,0.3515625,-0.03647127002477646,-0.2619236707687378,-0.054399941116571426,-0.248945415019989,1.2055107355117798,1.1909255981445312,1.1828482151031494,1.1857235431671143,-2.800912380218506,-2.8028295040130615,-2.8077380657196045,-2.811227798461914
0.6,1564253,-3.38671875,3.41796875,-2.703125,2.88671875,-0.828125,-0.57421875,-0.5625,-0.51953125,0.078125,0.15625,0.1953125,0.4296875,-0.038172751665115356,-0.2604259252548218,-0.056352823972702026,-0.2476750761270523,1.205654263496399,1.191548466682434,1.183027982711792,1.1860716342926025,-2.8008739948272705,-2.802791118621826,-2.80743145942688,-2.8113045692443848
0.8,1564283,-4.0390625,3.9140625,-2.91796875,3.35546875,-0.93359375,-0.55078125,0.7421875,-0.64453125,0.0,0.15625,0.2734375,0.46875,-0.03939569368958473,-0.25968289375305176,-0.05834275111556053,-0.24633283913135529,1.205666184425354,1.191872000694275,1.1831121444702148,1.1863113641738892,-2.800912380218506,-2.802867889404297,-2.80743145942688,-2.811227798461914
0.8,1564313,-4.34765625,4.22265625,-3.26171875,3.6015625,-1.63671875,-0.58203125,-0.16015625,-0.4609375,0.0390625,0.1953125,0.3125,0.546875,-0.0412290021777153,-0.25834041833877563,-0.05972066521644592,-0.24537412822246552,1.2057980298995972,1.1924355030059814,1.1830400228500366,1.186467170715332,-2.800912380218506,-2.8028295040130615,-2.8073930740356445,-2.8109211921691895
1.0,1564345,-4.66015625,4.66015625,-3.4765625,3.7890625,-1.37890625,-0.8828125,-0.05078125,-0.40625,0.0390625,0.1171875,0.2734375,0.4296875,-0.042103856801986694,-0.256602942943573,-0.06235746294260025,-0.2423897683620453,1.205786108970642,1.192831039428711,1.1829081773757935,1.1865390539169312,-2.8008739948272705,-2.8027913570404053,-2.80743145942688,-2.8112661838531494
1.0,1564374,-5.0625,4.96875,-3.6640625,4.0390625,-1.20703125,-0.90234375,-0.01171875,-0.68359375,0.0,0.234375,0.390625,0.6640625,-0.0433502160012722,-0.2542780041694641,-0.06457482278347015,-0.23945391178131104,1.2058579921722412,1.1933223009109497,1.1827164888381958,1.1865270137786865,-2.801257371902466,-2.8028295040130615,-2.80743145942688,-2.811228036880493
1.2,1564403,-5.52734375,5.3125,-4.0703125,4.22265625,-1.73046875,-0.90625,-0.203125,-0.3359375,0.0,0.2734375,0.390625,0.546875,-0.04482399672269821,-0.25321143865585327,-0.06679162383079529,-0.23705679178237915,1.2058939933776855,1.193525791168213,1.18240487575531,1.1865390539169312,-2.801295757293701,-2.803212881088257,-2.80743145942688,-2.8112661838531494
1.2,1564432,-5.80859375,5.65234375,-4.0390625,4.37890625,-1.29296875,-0.87890625,0.359375,-0.28125,0.0390625,0.234375,0.390625,0.8203125,-0.04698170721530914,-0.2510063052177429,-0.07051927596330643,-0.2343243956565857,1.2058939933776855,1.1942332983016968,1.1821891069412231,1.1865030527114868,-2.8013341426849365,-2.8031744956970215,-2.80743145942688,-2.811227798461914
1.4,1564461,-6.12109375,6.05859375,-4.22265625,4.84375,-1.57421875,-0.9140625,0.16796875,-0.51171875,0.0390625,0.2734375,0.4296875,0.6640625,-0.04954633116722107,-0.2496155947446823,-0.07448577880859375,-0.23268254101276398,1.2057740688323975,1.1946285963058472,1.181889533996582,1.186407208442688,-2.8013341426849365,-2.8036348819732666,-2.80743145942688,-2.8108444213867188
1.4,1564491,-6.3984375,6.12109375,-4.50390625,4.9375,-1.73046875,-1.21484375,0.0078125,-0.70703125,0.078125,0.2734375,0.5078125,0.78125,-0.051691506057977676,-0.24526531994342804,-0.07675079256296158,-0.229038804769516,1.2057381868362427,1.1948800086975098,1.1819255352020264,1.1864551305770874,-2.801295757293701,-2.8031744956970215,-2.8074698448181152,-2.8108060359954834
1.6,1564525,-6.5234375,6.3984375,-4.53515625,4.9375,-1.6875,-1.4296875,-0.07421875,-0.6328125,-0.078125,0.2734375,0.546875,0.6640625,-0.05547879636287689,-0.2408793866634369,-0.08080147206783295,-0.22462888062000275,1.2055344581604004,1.1948920488357544,1.1817936897277832,1.1864192485809326,-2.801257371902466,-2.803212881088257,-2.80743145942688,-2.810767650604248
1.6,1564555,-6.8046875,6.5234375,-4.72265625,5.28125,-1.921875,-1.3125,-0.078125,-0.4765625,0.234375,0.234375,0.546875,0.78125,-0.05871453508734703,-0.23748783767223358,-0.08432454615831375,-0.22113002836704254,1.205498456954956,1.1949878931045532,1.181661605834961,1.186407208442688,-2.801295757293701,-2.803212881088257,-2.807814836502075,-2.8104991912841797
1.8,1564587,-7.08203125,6.7734375,-4.96875,5.28125,-2.9765625,-1.1796875,-0.22265625,-0.44921875,0.078125,0.2734375,0.46875,0.859375,-0.061938293278217316,-0.23417992889881134,-0.08764418959617615,-0.21731850504875183,1.205438494682312,1.195071816444397,1.1814820766448975,1.1864432096481323,-2.801257371902466,-2.803251266479492,-2.80743145942688,-2.8104991912841797
1.8,1564617,-7.39453125,6.92578125,-5.15625,5.28125,-1.72265625,-1.4375,-0.30859375,-0.47265625,0.1171875,0.2734375,0.703125,0.9765625,-0.06431089341640472,-0.23017719388008118,-0.09086794406175613,-0.21275223791599274,1.205270528793335,1.1951197385787964,1.181374192237854,1.1864192485809326,-2.801257371902466,-2.803212881088257,-2.8074698448181152,-2.8104991912841797
2.0,1564645,-7.17578125,6.92578125,-4.9375,5.25,-1.73828125,-1.58984375,-0.03515625,-0.81640625,0.15625,0.2734375,0.5859375,0.9375,-0.06760655343532562,-0.22842831909656525,-0.0948466956615448,-0.20963715016841888,1.205043077468872,1.1949520111083984,1.1809906959533691,1.1864192485809326,-2.8013339042663574,-2.803212881088257,-2.80743145942688,-2.8104991912841797
2.0,1564674,-7.17578125,6.86328125,-4.75390625,5.34375,-1.53125,-1.43359375,0.109375,-0.55859375,0.1171875,0.3125,0.5859375,1.015625,-0.06957142055034637,-0.22776919603347778,-0.09609251469373703,-0.20926591753959656,1.204983115196228,1.1949759721755981,1.1807990074157715,1.1864553689956665,-2.801295757293701,-2.803212881088257,-2.8073930740356445,-2.8104991912841797
2.2,1564705,-7.23828125,6.89453125,-4.84375,5.34375,-1.2578125,-1.125,0.25390625,-0.609375,0.078125,0.2734375,0.625,0.8984375,-0.06959538906812668,-0.2275414913892746,-0.09608052670955658,-0.20919375121593475,1.205138921737671,1.1951078176498413,1.1810027360916138,1.186479091644287,-2.8016409873962402,-2.803212881088257,-2.8073930740356445,-2.8104991912841797
2.2,1564740,-7.17578125,6.95703125,-4.84375,5.28125,-2.3125,-1.2109375,0.1171875,-0.671875,0.234375,0.2734375,0.5859375,0.8984375,-0.06963134557008743,-0.2275175154209137,-0.09608052670955658,-0.2092059999704361,1.205138921737671,1.195083737373352,1.1809906959533691,1.186467170715332,-2.8016793727874756,-2.803212881088257,-2.80743145942688,-2.8104991912841797
2.4,1564770,-7.17578125,6.89453125,-4.75390625,5.21875,-2.30859375,-1.24609375,0.53125,-0.2421875,0.1171875,0.2734375,0.703125,0.9375,-0.06965531408786774,-0.227493554353714,-0.09608052670955658,-0.20917004346847534,1.2051509618759155,1.1950957775115967,1.1809425354003906,1.186467170715332,-2.8016793727874756,-2.803251266479492,-2.80743145942688,-2.8104991912841797
2.4,1564798,-7.11328125,6.98828125,-4.8125,5.09375,-2.34765625,-1.0,0.06640625,-0.5859375,0.1171875,0.234375,0.6640625,0.8203125,-0.06967928260564804,-0.22748157382011414,-0.09609251469373703,-0.2091580629348755,1.2051509618759155,1.1951078176498413,1.180942416191101,1.186479091644287,-2.8016409873962402,-2.803212881088257,-2.80743145942688,-2.8108444213867188
2.6,1564827,-7.17578125,6.89453125,-4.8125,5.28125,-2.015625,-1.125,0.00390625,-0.13671875,0.15625,0.1953125,0.6640625,0.859375,-0.06970325112342834,-0.2274695783853531,-0.09609251469373703,-0.2091580629348755,1.2051628828048706,1.1951078176498413,1.1810027360916138,1.186479091644287,-2.8016793727874756,-2.803251266479492,-2.80743145942688,-2.8104991912841797
2.6,1564855,-7.20703125,6.98828125,-4.84375,5.28125,-1.71875,-1.20703125,0.01171875,-0.125,0.1171875,0.3125,0.6640625,0.8984375,-0.0697152316570282,-0.22745759785175323,-0.09609251469373703,-0.2091340869665146,1.2051628828048706,1.1951078176498413,1.180978775024414,1.186479091644287,-2.8016409873962402,-2.803251266479492,-2.80743145942688,-2.8104991912841797
2.8,1564884,-7.11328125,6.95703125,-4.8125,5.34375,-2.7265625,-1.3125,-0.03125,-0.86328125,0.15625,0.2734375,0.703125,0.8984375,-0.06977543234825134,-0.22744561731815338,-0.09609251469373703,-0.20912210643291473,1.2052230834960938,1.1951197385787964,1.180942416191101,1.186479091644287,-2.8016793727874756,-2.803212881088257,-2.80743145942688,-2.8109211921691895
