x_value,tick,FL0_torque,FR0_torque,RL0_torque,RR0_torque,FL1_torque,FR1_torque,RL1_torque,RR1_torque,FL2_torque,FR2_torque,RL2_torque,RR2_torque,FL0_pos,FR0_pos,RL0_pos,RR0_pos,FL1_pos,FR1_pos,RL1_pos,RR1_pos,FL2_pos,FR2_pos,RL2_pos,RR2_pos
-0.2,4665633,-1.58203125,-1.45703125,0.0,0.05859375,-0.01171875,-0.00390625,-0.234375,-0.01171875,0.0390625,0.0,-0.078125,0.0,0.17419669032096863,-0.15721018612384796,0.18064692616462708,-0.16094551980495453,1.1970975399017334,1.186467170715332,1.1687308549880981,1.1750941276550293,-2.8001837730407715,-2.802062511444092,-2.801640510559082,-2.8054754734039307
0.0,4665657,-1.51953125,-1.3046875,-0.02734375,0.02734375,0.859375,0.921875,0.3046875,0.15234375,-0.1953125,-0.0390625,0.0,0.078125,0.1681479513645172,-0.17044919729232788,0.18046745657920837,-0.16092127561569214,1.1969419717788696,1.1831719875335693,1.1683233976364136,1.1757169961929321,-2.8001837730407715,-2.801295518875122,-2.8016788959503174,-2.8058974742889404
0.0,4665682,-1.64453125,-1.1796875,-0.02734375,-0.05859375,1.375,1.3984375,0.0390625,0.0546875,-0.1171875,-0.3125,-0.0390625,0.15625,0.16818362474441528,-0.17060470581054688,0.18002375960350037,-0.16154474020004272,1.2031272649765015,1.1867318153381348,1.1682994365692139,1.175645112991333,-2.8008737564086914,-2.8017940521240234,-2.8012571334838867,-2.8054754734039307
0.2,4665708,-1.61328125,-1.2734375,0.0,-0.05859375,2.71484375,2.0234375,0.46484375,-0.1796875,-0.234375,-0.234375,0.0,-0.0390625,0.16811171174049377,-0.17055650055408478,0.17984427511692047,-0.1617008000612259,1.2107734680175781,1.196057915687561,1.168359398841858,1.175777554512024,-2.801257371902466,-2.8026375770568848,-2.801295518875122,-2.8058974742889404
0.2,4665734,-1.83203125,-1.0859375,-0.02734375,-0.08984375,3.46484375,2.2890625,-0.02734375,0.2734375,-0.3125,-0.234375,0.0390625,-0.078125,0.1680278331041336,-0.17071257531642914,0.17983229458332062,-0.16176073253154755,1.2200498580932617,1.2154741287231445,1.1685271263122559,1.1757172346115112,-2.8011040687561035,-2.8042867183685303,-2.801295518875122,-2.805859088897705
0.4,4665760,-1.83203125,-1.0234375,-0.05859375,-0.02734375,4.1171875,2.984375,0.0859375,0.16015625,-0.3125,-0.5078125,0.0,-0.0390625,0.16796790063381195,-0.1714436113834381,0.17985625565052032,-0.161748468875885,1.2353435754776,1.2439141273498535,1.1686110496520996,1.1757771968841553,-2.801947832107544,-2.8069329261779785,-2.8016788959503174,-2.8058974742889404
0.4,4665787,-2.078125,-0.8359375,0.0,0.02734375,3.96484375,2.828125,-0.15234375,0.05078125,-0.46875,-0.6640625,0.078125,0.0,0.1680757701396942,-0.17427216470241547,0.17984427511692047,-0.16186830401420593,1.2612192630767822,1.2830935716629028,1.1686469316482544,1.1759330034255981,-2.8046703338623047,-2.8088884353637695,-2.8016788959503174,-2.8058974742889404
0.6,4665813,-2.01953125,-0.43359375,0.0,0.0,4.765625,3.12109375,-0.0546875,-0.33984375,-0.5078125,-1.015625,-0.0390625,-0.078125,0.1682315617799759,-0.17743626236915588,0.17967621982097626,-0.16198815405368805,1.2956039905548096,1.3305033445358276,1.1686469316482544,1.176148772239685,-2.807431697845459,-2.8094639778137207,-2.8016788959503174,-2.805859088897705
0.6,4665838,-2.203125,-0.65234375,0.02734375,0.0,4.5625,2.66015625,-0.0078125,0.1796875,-0.546875,-1.0546875,-0.15625,0.0,0.16844727098941803,-0.18071940541267395,0.17922082543373108,-0.16217990219593048,1.3362919092178345,1.3845447301864624,1.1686948537826538,1.176364779472351,-2.809464454650879,-2.8093488216400146,-2.8016788959503174,-2.8058974742889404
0.8,4665862,-2.234375,-0.37109375,0.02734375,-0.05859375,4.328125,2.66015625,-0.02734375,0.0,-1.015625,-1.171875,0.0390625,-0.0390625,0.16848322749137878,-0.18264886736869812,0.17870576679706573,-0.16240786015987396,1.382983684539795,1.4441195726394653,1.1687548160552979,1.1764243841171265,-2.8112666606903076,-2.8100006580352783,-2.8016788959503174,-2.8058974742889404
0.8,4665891,-2.359375,-0.55859375,0.0,0.02734375,3.75,2.125,0.01953125,0.02734375,-1.328125,-1.40625,0.3125,0.0,0.16844727098941803,-0.1825644075870514,0.17843014001846313,-0.16243156790733337,1.4525446891784668,1.5262233018875122,1.1687668561935425,1.1764243841171265,-2.8121485710144043,-2.8096938133239746,-2.801295518875122,-2.805859088897705
1.0,4665919,-2.390625,-0.7421875,-0.02734375,0.02734375,3.6015625,2.234375,-0.3984375,-0.55859375,-1.5625,-1.6015625,0.0,-0.15625,0.16802754998207092,-0.18088607490062714,0.1782623529434204,-0.16244354844093323,1.53033447265625,1.6160968542099,1.1686350107192993,1.1762925386428833,-2.8119568824768066,-2.8097705841064453,-2.8017172813415527,-2.8058974742889404
1.0,4665946,-1.86328125,-0.8359375,0.0,0.0,2.52734375,2.02734375,0.30859375,-0.05859375,-1.6796875,-1.71875,0.0,-0.0390625,0.16451480984687805,-0.17534908652305603,0.17825037240982056,-0.1622997373342514,1.6206177473068237,1.7113122940063477,1.1686229705810547,1.1760648488998413,-2.812110185623169,-2.8096938133239746,-2.8016788959503174,-2.805513858795166
1.2,4665974,-1.0546875,-0.8671875,0.02734375,-0.02734375,2.35546875,1.48828125,0.12109375,0.00390625,-1.953125,-1.875,-0.0390625,0.078125,0.15192918479442596,-0.1701362282037735,0.1786341369152069,-0.16189227998256683,1.7271568775177002,1.8160686492919922,1.1686829328536987,1.1758490800857544,-2.8118419647216797,-2.80973219871521,-2.8017172813415527,-2.8058974742889404
